"homograph"	"wordid"	"sentence"	"start"	"end"
"abstract"	"abstract_adj-nou"	"The abstract concepts in the philosophy textbook were difficult to understand."	4	12
"abstract"	"abstract_adj-nou"	"His thoughts were so abstract and disjointed that it was hard to follow his train of thought."	21	29
"abstract"	"abstract_adj-nou"	"The professor encouraged students to think critically about abstract ideas."	60	68
"abstract"	"abstract_adj-nou"	"Although he had not read the full article yet, he could tell from the abstract that it was going to be interesting."	70	78
"abstract"	"abstract_adj-nou"	"The conference organizers requested that presenters submit an abstract outlining their proposed talk."	62	70
"abstract"	"abstract_vrb"	"The teacher asked students to abstract the key points from the lecture to ensure understanding."	30	38
"abstract"	"abstract_vrb"	"Abstract this information into bullet points to make it easier to read."	0	8
"abstract"	"abstract_vrb"	"It's difficult to abstract meaning from such an ambiguous poem."	18	26
"abstract"	"abstract_vrb"	"We need to abstract this complex problem into smaller, manageable parts before we can solve it effectively."	11	19
"abstract"	"abstract_vrb"	"When writing his thesis, John had to carefully abstract data from dozens of studies."	47	55
"abuse"	"abuse_nou"	"The victim suffered years of physical and emotional abuse at the hands of her partner."	52	57
"abuse"	"abuse_nou"	"Absent fathers left many children vulnerable to abuse or neglect growing up."	48	53
"abuse"	"abuse_nou"	"Domestic violence shelters provide refuge for those fleeing domestic abuse."	69	74
"abuse"	"abuse_nou"	"Sexual harassment is a form of abuse that can have long-lasting effects on victims' mental health."	31	36
"abuse"	"abuse_nou"	"It took courage for her to speak up about the sexual abuse she endured during her youth."	53	58
"abuse"	"abuse_vrb"	"His alcoholism led him to abuse his family both verbally and physically."	26	31
"abuse"	"abuse_vrb"	"In order to get what they wanted, some kids would often manipulate and emotionally abuse others around them."	83	88
"abuse"	"abuse_vrb"	"His addiction to gambling led him to abuse his credit cards and accumulate massive debt."	37	42
"abuse"	"abuse_vrb"	"Don't abuse my trust like this, it hurts me deeply."	6	11
"abuse"	"abuse_vrb"	"I can't believe you would abuse your power like that, it's unacceptable!"	26	31
"abuses"	"abuses_nou"	"The government has been criticized for its handling of refugees, with allegations of human rights abuses."	98	104
"abuses"	"abuses_nou"	"The athlete was suspended for abuses of performance-enhancing drugs."	30	36
"abuses"	"abuses_nou"	"The report details widespread abuses of human rights in the conflict zone."	30	36
"abuses"	"abuses_nou"	"She suffered emotional abuses at the hands of her partner for years before seeking help."	23	29
"abuses"	"abuses_nou"	"The NGO is working to raise awareness about the abuses faced by marginalized communities."	48	54
"abuses"	"abuses_vrb"	"She abuses her power to get what she wants."	4	10
"abuses"	"abuses_vrb"	"The boss abuses their workers by paying them below minimum wage and denying them benefits."	9	15
"abuses"	"abuses_vrb"	"A committee has been formed to investigate the company that abuses its monopoly."	60	66
"abuses"	"abuses_vrb"	"The neighbor's dog constantly abuses the shared lawn space."	30	36
"abuses"	"abuses_vrb"	"There's a petition demanding the government official who abuses public funds to resign."	57	63
"addict"	"addict_nou"	"The addict sat alone in his dark apartment, surrounded by empty bottles and broken dreams."	4	10
"addict"	"addict_nou"	"The addict's eyes were sunken, her skin pale and clammy, signs of her constant drug use."	4	10
"addict"	"addict_nou"	"The addict's struggle with sobriety was a constant battle."	4	10
"addict"	"addict_nou"	"It took several attempts at rehab before the addict could kick the habit."	45	51
"addict"	"addict_nou"	"The stress of work had turned her into a workaholic, but she didn't consider herself an addict."	88	94
"addict"	"addict_vrb"	"Her mom worried that her constant gaming would addict her to screens and ruin her eyesight."	47	53
"addict"	"addict_vrb"	"Some critics argue that slot machines are designed specifically to addict players into spending money compulsively."	67	73
"addict"	"addict_vrb"	"Scientists discovered an enzyme in certain plants that could potentially addict insect pests, leading to population control."	73	79
"addict"	"addict_vrb"	"Some people accused him of trying to addict others to his ideology."	37	43
"addict"	"addict_vrb"	"Loan advertisements often target people who are struggling financially, because companies know they are easier to addict."	114	120
"advocate"	"advocate_nou"	"She is an advocate for women's rights and has dedicated her career to fighting for equality."	10	18
"advocate"	"advocate_nou"	"As a patient advocate, she works with hospitals to ensure that patients receive the best possible care."	13	21
"advocate"	"advocate_nou"	"The company appointed an advocate to handle all customer complaints and concerns."	25	33
"advocate"	"advocate_nou"	"Her experience as a victim advocate helped her understand the needs of those who had suffered trauma."	27	35
"advocate"	"advocate_nou"	"He was chosen to be an advocate for his community due to his passion for social justice and his ability to inspire others."	23	31
"advocate"	"advocate_vrb"	"Her role is to advocate for patient care and safety within the hospital."	15	23
"advocate"	"advocate_vrb"	"I will advocate for your promotion if you have proven yourself worthy."	7	15
